"name","boat_type","length","double_cabins","wc"
"HONEYMOON SUITE",1,11.80,2,1
"Wild Irish Rose II",1,13.13,3,3
"CORAL",1,14.40,4,2
"Arcobaleno",1,11.40,3,1
"Corcho X",1,13.34,4,2
"Cornelian",1,12.15,3,2
"DALTON",1,14.60,4,4
"MALA LUNA",1,9.99,3,1
"Mallorca Dream",1,13.30,3,2
"COROAH II",2,14.30,4,4
"GULETTA",3,23.00,5,5
"Cosa Nostra",2,11.55,4,2
"Blue Velvet",1,12.20,3,2
"ENARA LOA",4,5.50,0,1
"Malibu",4,22.46,4,5
"Margarita",2,15.54,4,4
"Ege",1,14.40,4,2
"Fortuna",1,11.99,3,2
"COTE D' AZUR",1,13.10,3,2
"FOX",1,14.40,3,2
"Gulet Nostalgija",3,26.00,5,5
"Cowes 54",1,12.46,3,1
"Cranchi M44 HT",4,13.82,2,2
"Hydrus",1,10.45,2,1
"CRAZY KNOT NUTS",2,13.96,3,3
"CREME DE LA CREME",1,11.47,3,1
"Malea",1,12.76,3,2
"Ibiza Dream",1,13.30,3,2
"IRO",1,12.92,3,2
"CS/EuroClassic 149",5,14.99,4,4
"Csimbi II",,9.70,0,0
"CS/Linssen 30.9AC",4,9.35,2,1
"Isis",1,14.07,3,2
"Handakas",1,14.63,3,3
"Harlequin",1,12.46,3,1
"CYCLADES 43.4 LEF",1,13.05,3,2
"Cyclades 43.4",1,13.26,4,2
"Bavaria 28 Sport",4,8.95,1,1
"CYGNUS",1,12.34,3,2
"C-ZEN",2,14.30,4,3
"DADDY COOL",1,13.34,3,2
"DADDY COOL LANZAROTE",1,13.34,3,2
"Esme",1,11.40,3,1
"Hanse 455 - NNB",1,13.95,4,2
"Happy AS",1,13.67,4,2
"Hasta Siempre",1,9.96,2,1
"Island",1,13.95,4,2
"Hanse 575 I",1,17.38,4,4
"Island Breeze",2,11.58,4,2
"Ala Lunga",1,17.15,4,4
"Malice",1,14.40,3,2
"Mandalina",4,10.00,3,2
"Happy Hour Too",1,12.15,3,2
"Bavaria 37/3/1",1,11.28,3,1
"DAIQUIRI 42",1,13.99,4,2
"Sunday Kinga",2,14.75,4,5
"Endur",4,12.20,1,1
"Happy Planet",1,11.75,3,2
"Hasardeur",1,13.25,4,2
"Bavaria 40/3/2",1,12.19,3,2
"Little Mermaid",1,13.10,4,2
"Hantobas",4,10.80,2,1
"Daisy",1,10.71,3,1
"Bavaria 38",1,12.31,3,1
"Dalika Crew",1,13.52,3,2
"Harmonia",1,9.72,2,1
"DALMACIJA",1,15.40,3,3
"Danica",1,15.43,4,3
"MANATEE",2,11.50,4,2
"Dalmatino Zara",1,15.43,5,3
"HEIDI",1,12.10,3,1
"DANAE",1,12.10,3,2
"MARATHI",1,11.25,3,1
"DANIELA V",1,14.40,4,2
"Helia",2,13.30,4,4
"Mara",1,14.73,4,4
"DAPHNE",1,12.34,3,2
"DARDANUS",1,11.23,3,2
"Helia I",2,13.96,4,4
"Daria",2,11.89,4,2
"Anabell",4,11.00,2,1
"BLISS",2,11.71,4,2
"D'ARTAGNAN",1,9.66,2,1
"Adagio R (sails changed 2014)",1,13.76,4,2
"Helios",2,13.00,3,3
"I Got The Cat",2,10.67,3,2
"Gravosa",1,13.21,4,2
"Herakles",1,10.28,3,1
"Angela",1,11.40,3,1
"BAVARIA 41 CRUISER",1,12.35,3,2
"Day Dream Believer",2,11.00,3,1
"ENJOY",2,12.61,4,4
"Ida",1,10.28,3,1
"Bavaria Cruiser 46 NEW  ( WP2)",1,13.99,4,3
"Maun",1,11.20,3,1
"MAXIMA",1,9.96,2,1
"LOCKE",2,12.20,4,4
"MAPANU",1,13.34,3,2
"Tango",1,10.60,3,1
"Adria Chicha",2,11.93,6,4
"BALA LANZAROTE",1,15.38,5,3
"Deep Blue",1,15.48,3,2
"DEKOTAN",1,16.10,5,2
"MARA",1,10.45,2,1
"Medusa",2,12.00,4,4
"Lutetia",4,23.22,4,4
"FANI",1,14.51,4,2
"Delta",1,13.95,4,2
"Idefix - 04",1,10.45,2,1
"Maximus",4,37.60,2,2
"Bavaria 46 number 3",1,14.50,3,2
"Amaro",1,11.50,3,1
"AfterSkii",1,12.15,3,2
"MAX",1,10.45,2,1
"Mazur",4,12.70,3,2
"Anastasia",1,9.79,2,1
"Apus",1,12.35,3,2
"Ika",4,12.45,3,2
"Bavaria 46-07",1,13.99,4,2
"Bella Vita",2,14.30,4,4
"Ivan",1,13.95,4,2
"Aquavit",1,11.50,3,1
"Mediterranea",1,12.38,3,2
"Aregon",2,11.90,4,2
"Bavaria 46 Cruiser",1,14.10,3,2
"Bavaria 46 number 1",1,14.50,3,2
"Despoina",1,14.07,3,2
"Maya - 08",1,11.99,3,1
"Moorings 42.3 - Exclusive",1,12.37,3,2
"Baguette",1,13.25,4,2
"India",1,15.60,4,3
"Diana",1,11.25,3,1
"AuraTre",1,14.40,4,4
"MARINA",1,15.62,4,3
"Asia",1,13.75,4,3
"Diara",4,9.90,1,1
"Bavaria 56 Cruiser",1,17.01,3,2
"ABEL",2,14.30,4,4
"DIMITRA",1,10.34,3,1
"DIMOKRITUS",1,12.38,3,2
"Anbili",1,14.20,3,2
"INSTIGATOR",2,12.80,3,3
"Marilyn",4,20.40,3,3
"Dione",1,9.99,2,1
"BAVARIA 51 CRUISER",1,15.60,5,3
"DIRIDONDA",2,11.74,4,2
"Evi",4,14.93,3,2
"Disco",1,12.38,3,2
"DISCOVERY LANZAROTE",2,13.96,4,4
"Achilleas",1,12.60,3,2
"Into the Mystic",1,11.48,2,1
"Merak",1,9.99,3,1
"Mare",1,10.28,3,1
"Attila",1,15.60,4,3
"Iraklis",1,12.99,3,2
"DJERBA",1,11.67,3,1
"CL/Linssen 30.9AC",4,9.35,2,1
"Moon",1,9.93,2,1
"Sunshine",2,11.74,4,2
"FANTASIA",1,15.59,5,3
"Dolin",1,12.35,3,2
"First Wave",2,11.89,4,2
"Knotty Dreamer",2,12.80,3,3
"Buddy",1,12.38,3,2
"Alboran Maritini",1,14.15,4,2
"amorgos",1,10.30,2,1
"MARIA ELENA",1,11.40,3,1
"Marinas",1,14.40,4,2
"Marko II",4,10.50,2,1
"Bavaria Cruiser 37",1,11.30,3,1
"MAZURKA",2,13.10,4,4
"Dragon Fly",1,13.34,3,2
"AEOLUS",1,16.06,4,4
"Marimar",2,12.61,4,4
"DON CARLOS",1,15.20,4,3
"Funky",1,15.62,4,4
"HAPPY OURS",2,11.73,4,4
"Alioth",1,12.35,3,2
"ISLAND TIME",1,12.70,3,2
"COLTRANE",1,11.30,3,1
"ELLINGTON",1,14.27,4,3
"Jazz Point",2,12.00,4,4
"DUF 382 ANNAPOLIS",1,11.23,2,1
"ORBISON",1,11.30,3,1
"NARDIS",1,12.35,3,2
"Bavaria Cruiser 51 NEW ( WP1)",1,15.59,5,3
"Iris",1,14.51,3,2
"Dorothea",1,12.55,3,2
"Alboran XXIV Cocomaluco",1,13.40,3,2
"Diana - 06",1,14.40,4,2
"Medoc",1,11.23,3,2
"ath43905",1,13.34,3,2
"Jade III",2,13.96,4,4
"Double Vies",2,12.00,4,2
"Marko",4,10.10,2,1
"Anna",1,14.20,4,2
"Megas Alexandros",1,15.95,4,5
"Jak",1,13.76,3,2
"Dream",2,11.55,4,2
"Miss Ellie",1,14.60,3,2
"Mediterraneo",2,12.61,4,4
"Flower",1,16.08,4,4
"Jazz",1,14.60,4,4
"Jana I - 07",1,15.43,3,3
"DREAM BALI",2,18.39,5,5
"Jazzer",1,10.75,3,1
"Albireo",1,13.99,4,3
"Mediterraneo I",1,13.65,4,2
"Martha",1,13.10,3,2
"Diniva - 06",1,11.55,3,2
"Marlera",1,11.20,3,1
"Boogie Woogie",2,13.61,6,4
"MARTINA'S DREAMS",1,11.10,3,1
"DREAM MARTINIQUE",2,18.90,6,6
"Fortuna I",1,14.07,3,2
"DREAM PATASH",2,18.90,6,6
"Martine",1,11.25,3,1
"MEDOC",2,11.98,4,4
"Dubhe",1,14.15,4,2
"Jioia 2",2,13.10,3,3
"Astra",1,15.59,5,3
"Medoc",1,11.23,3,2
"JJ B Horizon",2,12.61,4,4
"DREAM TUAMOTU",2,18.90,6,6
"DUBOKA II",1,12.38,3,2
"Dori - 15",1,11.20,3,1
"MELINA",1,14.60,4,3
"BSC 70 (Yamaha 200)",4,7.10,0,1
"BSC 75 (250 HP)",4,7.48,0,1
"Meissa",1,14.51,4,2
"ath39i02",1,11.86,3,1
"Foxy",1,12.00,3,2
"MELODY",2,11.89,4,2
"MEME PAS PEUR",2,11.74,4,2
"Club Delphia",1,10.35,2,1
"BAXTER",1,13.38,3,2
"BSC 75 (250 HP)",4,7.48,0,1
"JetSet 1",2,11.98,4,2
"Mercan",1,12.34,3,2
"Baydeniz",1,12.55,3,2
"B&B",1,10.60,2,1
"Mercy",2,12.00,4,4
"MERENGUE",2,11.89,4,2
"MH 28",1,15.40,5,3
"Regis1",4,2286.00,2,4
"Dufour",1,13.67,3,2
"Dufour 310",1,9.67,2,1
"Funk 349",1,10.34,2,1
"Alboran XXIII Merengue",1,14.95,5,3
"Take Five 2",1,15.62,6,3
"DREAM COURSE",1,12.38,3,2
"LISZT",1,11.23,3,2
"NEW SABA 50",2,14.98,6,6
"Dufour 385",1,11.72,3,2
"MerSea - Crew",1,15.30,3,2
"MH 10",1,14.40,4,2
"FENIKS",1,10.28,3,1
"Billabong",1,10.94,3,1
"GRIEG",1,14.15,4,4
"Seacret",1,13.10,4,2
"JOKER",1,15.62,4,4
"BISER",1,11.55,3,1
"Jonathan Livingston",1,13.00,3,2
"MH 11",1,14.40,4,2
"THUNDERSTORM",2,18.39,6,6
"3 FRIENDS",1,12.35,3,2
"ARTA VELIKA",1,14.27,4,3
"4 YOU",1,14.15,4,4
"Skiron",1,12.90,3,2
"EVOLUTION",1,13.85,4,2
"Cyclades 50.4",1,15.54,5,5
"NN  Air condition/ Generator /Heating",1,15.20,4,3
"Destiny",1,14.27,4,3
"JOP",1,11.20,3,1
"MERLYN",2,15.82,5,5
"Dutch Lion",6,35.00,0,1
"LADIES FIRST",2,11.98,4,4
"MIRA V",2,13.96,4,4
"DORKA V",2,13.96,6,4
"FADO",1,14.27,4,3
"MH 19",1,14.40,4,2
"DONNA",1,15.20,5,3
"SWEET LADY",1,10.28,3,1
"Eagle Ray",1,11.32,3,1
"MH 20",1,14.40,4,2
"CHILL OUT",1,14.27,3,3
"OCEAN STAR",2,12.80,6,4
"Easy II",1,11.99,3,2
"Easy Point",1,13.99,4,3
"GOOD LIFE",1,14.27,4,3
"Lunga",1,14.15,4,4
"LA MAR",2,12.80,6,4
"GALATEJA",1,13.95,4,2
"MH 15",1,14.40,4,2
"SANTA ROSA",1,14.15,4,4
"MH 23",1,12.00,3,2
"Elida",1,13.09,4,3
"SILVER ARROW",1,12.35,3,2
"MH 14",1,14.40,4,2
"ECOS",1,11.39,3,1
"BDC",1,13.85,4,2
"Amore 1",1,13.65,4,2
"VITTORIA",1,15.10,4,4
"Efploia",1,14.48,4,2
"Efram",1,12.35,3,2
"Eftychia 2",2,11.50,4,2
"Eftychia 3",1,11.23,3,2
"GEORGE'S 2",1,13.05,4,2
"40 Below",2,12.20,3,2
"Egeria",1,14.07,3,2
"EI 344 - 06 - Vg",1,10.30,3,1
"MH 25",1,10.45,3,1
"MH 49",1,14.40,4,3
"Adhara",2,12.19,4,2
"Adriatic star",2,15.84,5,5
"EINSTEIN",2,12.58,4,2
"Eivissa",1,13.85,4,2
"Afrodita II",1,15.40,5,3
"JOHNNY",1,14.27,4,3
"MH 26",2,12.00,4,4
"JOSEFIN",1,9.63,2,1
"MH 45",1,14.27,4,3
"ELAN",2,11.50,4,2
"Josefina",1,14.56,4,2
"Aiolos",1,14.40,4,2
"Ele",1,15.40,3,3
"Alex",2,13.96,4,4
"Gargano I",1,14.27,1,1
"Alfa I",1,14.00,4,2
"Elena",1,15.07,4,4
"MH 27",2,12.00,4,4
"Johnny Boy",1,13.00,3,2
"Josefina",1,15.62,5,3
"Alina",1,15.10,4,5
"ALLEGRIA",2,12.61,4,1
"Eleonora",1,15.10,5,3
"Andreas I",1,12.55,3,2
"ALOHA",2,11.98,4,4
"MH 41",1,14.27,4,3
"Eleven",1,15.00,3,2
"Josefina",1,13.10,4,2
"Be Happy",3,30.00,5,5
"Gilda",1,13.10,3,2
"John K",1,11.20,3,1
"MH 39",1,14.27,4,3
"Andreana",1,11.23,3,2
"Gin",1,13.50,4,2
"ELINE - 2009",1,9.95,2,1
"Elisa",1,14.00,4,3
"Volante",1,14.40,4,3
"MH 44",1,14.27,4,3
"MH 46",1,14.27,4,3
"Anna-Sophie",4,15.70,4,3
"Annelia",1,14.40,4,2
"ELISABETH A",1,12.34,3,2
"Annina",1,9.63,2,1
"Elise",1,10.34,3,1
"MH 43",1,14.27,4,3
"ARCH II-II",4,6.55,1,1
"Antares II",4,14.50,3,2
"El Sueno",1,7.35,2,1
"Ginger",1,13.52,4,2
"Elixir",1,13.85,4,2
"JULIENAS",1,14.05,4,4
"Arcadia",1,11.40,3,1
"Elnath",1,11.20,3,1
"Elysian (ex Afeica)",2,13.61,6,4
"UTRILLO",1,13.34,3,2
"ath42i14",1,12.90,3,2
"Ariana",2,12.19,4,2
"ARTA MALA",1,11.40,3,1
"Raindrops",2,11.90,3,2
"Black Magic 27",1,12.35,3,2
"Black Opium",1,9.99,3,1
"EL MARA",1,9.60,2,1
"BLACK PEARL",1,11.99,3,2
"Elliana",1,14.51,4,2
"Traviesa",1,11.10,3,1
"BLACK PEARL",1,11.99,3,2
"MH 4",1,14.40,4,2
"EL PANA",1,10.34,3,1
"Anegada",2,11.74,4,2
"JOY",1,11.59,3,1
"EL PANA",1,10.34,3,1
"Tardis",1,12.00,3,2
"MH 57",1,12.35,3,2
"EL TABASCO",1,16.75,4,4
"El Tocororo",2,13.00,4,4
"Baba Yaga",,16.16,3,3
"MH 50",1,14.40,4,3
"Elvira",1,13.05,3,3
"J-PHAUROM",1,15.88,5,3
"Katina",1,13.99,4,3
"MH 48",1,14.40,4,3
"Black Pearl",2,15.24,4,5
"Ema",1,12.50,3,3
"Ema I",1,13.95,4,2
"Grasshopper",1,11.30,2,1
"Kazejin",1,10.39,2,1
"MH 51",1,14.40,4,3
"KERYLOS 2",2,11.90,4,2
"Emely",1,13.65,3,2
"Emerald",1,15.62,4,3
"Emerald Ayes",2,11.46,4,2
"Emily",1,13.45,3,2
"Beijing",1,17.01,3,3
"Emily",1,13.90,4,2
"C505-1",1,15.62,4,3
"Calypso",2,11.50,4,2
"MH 52",1,14.40,4,3
"EMV XIV",1,13.50,3,2
"H325-1",1,10.71,2,1
"Hanse 430",1,13.30,1,1
"CAJOU 2",1,15.68,5,3
"Enchanted",1,15.43,5,3
"Endiva",1,14.60,3,2
"BEAUTY AS",1,13.85,4,2
"Beauty II",1,12.30,3,2
"endleX",1,10.31,2,1
"Eneja",1,11.20,3,1
"Energico FB",1,13.25,4,2
"D445-1",1,13.50,4,2
"Hanse 415 II",1,13.45,3,2
"Juraj NEW 2016!",2,13.96,6,4
"GATO",4,6.07,0,0
"B33-1",1,10.45,2,1
"Hanse 505 I",1,14.85,4,3
"Kabula",1,14.27,4,3
"Enoch",1,14.50,2,2
"Envy",1,11.25,3,1
"Enya",1,14.27,4,3
"Eolo",2,11.60,4,2
"EOS",1,13.76,4,2
"Cicala Sapiente",1,12.43,3,2
"EPICURUS",2,12.20,4,4
"Boreas I",1,11.55,2,1
"KAIROS",2,13.61,4,4
"Epifany",1,13.85,4,2
"EPOCH",1,15.20,4,4
"Cura - 03",1,10.45,2,1
"EQUILIBRI",1,12.10,3,2
"Beef",1,14.27,4,2
"Equinox",2,13.96,6,4
"EQUINOX",2,13.96,4,4
"Erato",1,10.28,3,1
"Erato",1,12.35,3,2
"Happy Point",1,11.55,3,1
"MH 56",1,14.40,4,3
"Cherry",1,11.50,3,1
"Fuasju",2,11.74,4,2
"Harmattan",1,13.13,3,2
"Cocktail",1,11.50,3,1
"Erich",1,11.40,2,1
"MH 68",1,12.35,3,2
"Be Happy",2,11.98,4,2
"Erika",1,14.73,3,2
"Erikoussa",1,14.60,4,3
"ANNAPURNA",2,16.00,4,5
"DJAMILEH",1,15.10,4,3
"Escape",1,13.21,4,2
"Ostraco",1,9.76,2,1
"ath40905",1,12.34,3,2
"Eroico FB",1,13.25,4,2
"EROS",1,15.62,6,4
"Eros-Helios",1,15.62,4,4
"BE HAPPY",2,15.84,5,5
"Ersi",1,12.35,3,1
"Escape",1,8.63,2,1
"ESCAPE",1,11.90,3,2
"ESCAUT",2,15.70,4,4
"ESPANOU",1,10.37,3,1
"MH 6",1,14.40,4,2
"Espanola",1,14.39,4,2
"Estera 2",1,12.99,4,3
"Estima",1,13.45,4,3
"Imagine",1,17.38,5,4
"MH 62",1,12.35,3,2
"Estrella",1,10.34,3,1
"Himalaya",1,13.05,4,2
"MH 63",1,12.35,3,2
"Es Vedrà",2,12.98,4,4
"Etamin I",1,12.38,3,2
"KaninVin",1,11.50,3,1
"MH 71",1,12.35,3,2
"POR FIN SALGO",4,10.45,2,1
"Euphoria",2,13.47,6,4
"Helios",1,10.30,3,1
"Morski Konjic",1,15.07,4,4
"9 - PAOLA",1,12.35,3,2
"BOREAS",4,11.85,2,1
"Aghia II",1,11.99,3,2
"Euphoria",2,11.58,3,2
"Eurybia",1,12.00,3,2
"MH 72",1,12.35,3,2
"Balvanida",1,11.10,3,1
"Indie",1,11.29,3,1
"Kastelet",1,12.14,3,2
"Karla",1,13.55,4,2
"Kate",1,13.05,4,2
"Kimera",1,15.07,3,2
"E-Varka",2,11.73,4,4
"Karma",1,12.40,3,2
"SIFNOS 43.1",1,13.10,2,2
"Evelina",2,11.98,4,4
"Mia Xara",1,13.95,3,2
"Evi",1,11.99,3,2
"Katharina",1,14.40,4,2
"CECILIA LANZAROTE",1,15.38,5,3
"Ewoo",1,14.70,4,4
"Imagine",1,12.90,3,2
"Aragorn 2",2,12.00,4,4
"Extra",1,12.00,3,2
"MH 76",1,12.35,3,2
"Hydra",1,14.27,4,3
"Katia",1,11.33,3,1
"Extra fast II",1,12.51,4,2
"eXtra fun",1,12.51,4,2
"Miura",1,9.66,2,1
"Kinnaree",2,10.97,4,2
"MIKI NUMERO UNO",4,12.00,2,1
"KIMIKO",2,13.26,3,3
"BELA",4,11.92,2,1
"Belina",1,14.98,4,4
"Kioni-SANTORINI",1,14.30,4,3
"NEW",1,15.20,5,4
"FAMILY OFFICE",1,12.35,3,2
"Fammi volare",1,14.40,4,2
"Alba Dog",2,13.96,4,4
"Ingrid",4,24.37,4,4
"MIAMI",2,10.79,3,1
"KILI WATCH",2,13.60,4,4
"KILIMANDJARO",2,15.70,4,4
"KNOT BAD",2,15.24,5,5
"Bavaria 34/2/1",1,10.36,2,1
"Ioli",1,11.55,3,2
"Fascination",1,8.63,2,1
"Fast Dream",1,12.50,3,2
"INDULGENCE",1,13.00,2,2
"FER SERVADOU",1,12.38,3,2
"Ippoliti",1,13.10,3,2
"Kivotos",2,12.50,4,4
"KNOT TOO LATE",1,10.46,2,1
"BEL AMI",1,10.46,3,1
"IOS III",1,14.60,5,3
"Fearless D",1,12.43,3,2
"Bavaria 32/2/1",1,9.75,2,1
"Mi.Illa",4,16.45,3,3
"FEI",1,9.99,2,1
"Michelangelo",2,13.96,4,4
"Femi Pearl",1,10.45,3,1
"Antiope (refit 2017)",1,11.40,3,1
"Mid AS",1,11.72,3,1
"Fenera",1,13.52,4,2
"Bela Veronika",1,10.75,3,1
"Fenoliga",1,15.50,4,3
"IRINA",1,14.40,4,2
"FERMI",1,15.38,4,3
"Fernanda",2,12.00,4,4
"Figaro",1,14.27,4,3
"Figaro",1,10.28,3,1
"Mila - 01",1,9.45,2,1
"FILOMENA",1,14.60,4,3
"Minelli",1,9.96,2,1
"Filyos",1,15.00,4,4
"Belisama",2,15.54,4,5
"Mili",1,14.30,4,3
"MINERVOIS",2,14.30,4,4
"Miu Miu",1,12.34,3,2
"Monia",1,14.73,4,4
"MINA",1,12.15,3,2
"Missus B",1,13.41,4,2
"Minorca",1,13.67,4,2
"Minoris",2,11.73,4,4
"Mirjana",1,14.15,4,4
"Mintaka",1,15.38,3,2
"Mirakul",4,12.13,2,1
"Mirna",1,13.95,4,2
"First Impression",1,13.40,4,2
"MIRELLA",1,10.30,2,1
"FIRST LADY",1,14.27,4,2
"MIRFAK",1,11.47,3,1
"Miro Cruising",1,12.35,3,2
"Flamenco",1,12.00,3,2
"Klaudija",1,13.85,3,2
"Flipper",1,12.35,3,2
"Ariadne",1,10.66,3,1
"FLO 2",2,12.00,3,2
"Flogger",1,11.95,4,2
"Kleeia",1,9.99,2,1
"Flora",1,15.60,5,3
"Flora Mirabilis",1,13.41,4,2
"FLORES",1,11.67,3,1
"Kochab II",1,15.10,5,3
"Koptin",2,11.74,4,4
"KOS 41.6",1,12.43,3,2
"KOS 45.6",1,13.65,4,2
"Antonia",4,10.50,3,2
"Kopernik",1,10.28,2,1
"KOS 41.2",1,12.43,3,2
"Miss Elli",1,13.72,3,2
"Folie",1,11.50,3,1
"IVA",1,10.45,2,1
"Forever Maja I",2,13.96,6,4
"Forever Young",1,12.17,3,2
"Fortunal",1,15.40,5,3
"Alexandria",1,17.01,5,5
"Misses",1,12.90,3,2
"Four III - Booking Federico",2,12.20,4,4
"Moorings 514PC-Excl",2,15.24,4,5
"Four M",1,12.00,3,1
"Jchnussa",1,13.10,3,2
"Four V",1,13.72,4,2
"J'KIFE",1,11.23,3,1
"Eva",1,14.15,4,4
"Miss Georgia",1,15.95,5,5
"FRANA",1,10.45,2,1
"Franciska",1,15.43,3,3
"Mišac",1,11.20,3,1
"Francesca",1,14.27,4,3
"ANY TIME",2,11.50,4,2
"Jojo",1,15.43,5,3
"Konstantinos 14",1,12.35,3,2
"Francy",1,12.15,3,2
"Franka",1,10.75,3,1
"FRANKA",4,13.50,3,2
"Konstantinos 11",1,15.50,4,3
"Moa",1,14.27,4,3
"FREEDOM",2,15.24,5,5
"FREEWILL",2,13.41,4,4
"Jaramì",1,16.15,4,4
"FRENCH KISS",2,13.75,4,4
"Mistral",1,12.35,3,2
"KOS 40.5",2,11.93,4,4
"Frenesia",1,14.15,4,2
"Lagoon 421",2,12.61,5,4
"Janaia",1,12.13,3,2
"Bolero",1,13.95,4,2
"FRIDA",2,12.37,4,2
"JASPER",1,14.20,4,3
"KOS 36.1",1,11.10,3,1
"Kornati",4,10.00,3,2
"Krill",1,13.10,3,2
"Lady Arago",1,8.99,2,1
"Jeredam",2,13.30,4,4
"Helena 1",1,15.43,3,3
"Friday",1,10.28,3,1
"Alice",1,13.26,4,2
"Frixos",1,13.99,4,2
"KOS 43",2,13.10,4,4
"Furioso FB",1,13.50,4,2
"Apollonia",1,18.00,4,4
"APOLLONIA",1,9.76,2,1
"FUTUNA T",2,13.61,4,4
"Laali",1,11.90,3,2
"Gabriel",1,13.90,4,2
"La Bonne Vie",1,14.05,3,3
"Gaia",1,12.35,3,2
"Jolupa",1,11.75,3,2
"GAILLAC",2,11.74,4,2
"Gaja",1,15.40,5,3
"Gala",1,11.59,3,2
"Aquabella",2,11.98,4,4
"Mojito",1,13.99,4,3
"BLUE COCKTAIL",2,13.25,4,4
"Mo",1,14.27,4,2
"Galeodea",1,15.62,4,3
"Montecenz",1,12.35,3,2
"VIRGIN BUOY",2,12.00,4,2
"Moorings 3900 - Club",2,11.89,3,2
"Bella",1,11.20,3,1
"Galini",1,12.99,3,2
"Blue Heart",1,17.15,4,4
"Jolly Molly",1,11.35,3,1
"Gallifrey",2,11.60,4,2
"Appolonas",1,13.34,4,2
"Gambler",1,10.29,2,1
"MOJITO",1,14.15,3,3
"B45-1",1,14.27,4,3
"Fairy",1,15.62,4,3
"Bella",1,10.75,3,1
"GANDALF",1,14.85,5,4
"Gangaro",1,11.23,3,2
"Garañon",1,11.89,3,1
"Garbina - BT",1,13.09,4,3
"LAGOON 440",2,13.61,4,4
"GARMENJAK",1,9.96,2,1
"Julija I",1,14.30,4,2
"Julija II",1,15.40,5,3
"Lambada",1,11.25,3,1
"Molly Fm",1,12.99,3,2
"KAYOTICK",1,12.55,3,2
"Gaudi",1,12.00,3,2
"Aqua Libra",1,10.75,2,1
"Molly's",1,14.51,4,2
"GENESIS",2,18.39,5,5
"MONIA",2,12.00,4,2
"Gin-Tonic",1,12.00,3,1
"MondoX",1,13.90,4,2
"Monella 2",4,10.50,2,1
"MON DILEMME",1,11.47,3,1
"Gerry",1,14.40,4,2
"Moon Kiss",1,13.34,4,2
"Moorings 434PC-Excl Plus",2,13.11,4,2
"Medline 540 (Suzuki 70)",4,5.40,0,0
"Medline 580 (Suzuki 90)",4,5.80,0,0
"Monica",1,11.59,3,2
"Monica",1,13.85,4,2
"Moonbreeze",1,15.59,5,4
"Get Lucky - BT",1,14.15,4,4
"MOONSTRUCK (WYWH)",2,14.63,4,4
"Moorings 393PC-Club",2,11.89,3,2
"Moorings 4000 - Excl Plus",2,12.19,3,2
"Moorings 4000 - Exclusive",2,12.19,3,2
"Moorings 4000 - Exclusive",2,12.19,3,2
"Moorings 41.3",1,12.17,3,2
"Monte Cristo",1,13.65,4,2
"Moorings 382 - Exclusive",1,12.19,2,1
"G F 2",4,11.47,2,1
"Moorings 39PCX-Club",,11.89,3,2
"Moorings 4000 - Club",,12.19,3,2
"Moorings 4000 - Excl Plus",2,12.19,3,2
"Moorings 4000 - Exclusive",2,12.19,3,2
"Moorings 4000 - Exclusive",2,12.19,4,2
"Montserrat",1,14.39,4,2
"Giant",1,10.45,2,1
"Moorings 434PC-Exclusive",2,13.11,4,2
"ath3709",1,11.40,3,1
"MONT BLANC",2,15.70,4,4
"Moonshadow",2,11.50,4,2
"ath34901",1,10.34,3,1
"""Gigiona""",1,11.35,3,1
"Gilda",1,12.85,3,2
"Moorings 45.3 - Excl Plus",1,13.72,3,3
"MONOI",1,13.75,3,2
"Monumental Dream",1,15.62,3,4
"Gimmo",4,9.50,1,1
"GIN and Tonic",1,11.48,3,1
"Ginevra",1,12.35,3,2
"Gin Tonic",2,13.96,4,4
"Moorings 45.3 - Excl Plus",1,13.72,3,3
"Gioia",2,11.98,4,4
"Moorings 3900 - Exclusive",2,11.89,4,2
"Moorings 39PCX-Club",,11.89,3,2
"Moorings 42.3 - Club",1,12.50,3,2
"MOON",4,8.23,2,1
"Moonraker",4,16.68,3,2
"Moorings 4000 - Excl Plus",2,12.19,3,2
"Viking Blond",1,15.49,5,3
"Moorings 3900 - Club",2,11.89,3,2
"Moorings 3900 - Club",2,11.89,4,2
"Moorings 3900 - Club",2,11.89,3,2
"Moorings 3900 - Club",2,11.89,3,2
"Giorgina",1,15.40,4,3
"Moorings 3900 - Exclusive",2,11.89,3,2
"Moorings 3900 - Exclusive",2,11.89,3,2
"Moorings 394PC-Club",2,11.89,4,2
"Moorings 394PC-Excl",2,11.89,4,2
"Moorings 4000 - Exclusive",2,12.19,4,2
"Moorings 3900 - Club",2,11.89,4,2
"Giselle",2,11.98,6,4
"Moorings 432 - Club",1,13.11,3,2
"Moorings 3900 - Club",2,11.89,3,2
"Moorings 3900 - Exclusive",2,11.89,3,2
"Moorings 43.3 - Club",1,13.11,3,3
"Moorings 43PC - Exclusive",,13.11,3,2
"Moorings 393PC-Club",2,11.89,3,2
"Moorings 4400",2,13.41,4,4
"ath4913",1,14.98,4,4
"Le Reve",1,11.72,3,1
"Moorings 3900 - Exclusive",2,11.89,4,2
"Moorings 3900 - Exclusive",2,11.89,4,2
"Moorings 393PC-Exclusive",2,11.89,3,2
"Moorings 4000 - Exclusive",2,12.19,3,2
"Moorings 393PC-Club",2,11.89,3,2
"Glen Rosa",1,11.47,3,1
